Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,Avg VTAT (mins),Avg CTAT (mins),Cancelled by Customer,Customer Cancellation Reason,Cancelled by Driver,Driver Cancellation Reason,Incomplete Ride,Incomplete Ride Reason,Booking Value (₹),Ride Distance (km),Driver Rating,Customer Rating
14-01-2026,13:28:00,CNR0042525,Successful,CUST50437,Auto,Malleshwaram,Ulsoor,8,5.5,No,,No,,No,,124.33,9.9,4.3,4.9
04-01-2026,22:28:00,CNR0042526,Successful,CUST84514,Bike,Whitefield Phase,Marathahalli,5.8,4,No,,No,,No,,363.5,20.3,3.8,4.3
17-01-2026,19:30:00,CNR0042527,Successful,CUST49523,Auto,Brookefield,OMR Road,6.5,7.7,No,,No,,No,,459.47,27.9,4.4,3.9
21-01-2026,18:20:00,CNR0042528,Successful,CUST42232,eBike,Rajajinagar,Indiranagar,6.8,8.2,No,,No,,No,,286.32,4.7,4.1,4.4
18-01-2026,16:47:00,CNR0042529,Cancelled by Driver,CUST57121,Mini,Mahadevapura,City Market,,,No,,Yes,More than permitted people in there,No,,331.28,,,
23-01-2026,08:55:00,CNR0042530,Successful,CUST25798,Bike,Kamakhya,OMR Road,12.1,7.6,No,,No,,No,,333.56,5.8,4.3,4
14-01-2026,03:33:00,CNR0042531,Cancelled by Driver,CUST58702,Prime Sedan,Jakkur,Shivajinagar,,,No,,Yes,More than permitted people in there,No,,412.53,,,
30-01-2026,08:08:00,CNR0042532,Successful,CUST21508,Mini,Indiranagar,Jayanagar,7.3,7.5,No,,No,,No,,755.68,6.3,4.6,4.9
26-01-2026,20:23:00,CNR0042533,Successful,CUST41001,Prime SUV,Outer Ring Road,Tumkur Road,2.8,7,No,,No,,No,,356.6,20,4.9,3.5
20-01-2026,02:37:00,CNR0042534,Successful,CUST10369,eBike,Bagalur,Cubbon Park,5.6,5.9,No,,No,,No,,184.06,6.4,3.7,4.7
10-01-2026,21:27:00,CNR0042535,Successful,CUST61741,eBike,City Market,Hebbal,5.7,7.3,No,,No,,No,,974.22,25.5,4.1,4.8
14-01-2026,23:39:00,CNR0042536,Incomplete,CUST14870,eBike,OMR Road,Koramangala,,,No,,No,,Yes,Other Issue,572.82,,,
11-01-2026,02:54:00,CNR0042537,Successful,CUST97518,Mini,Vijayanagar,Outer Ring Road,12.9,6.5,No,,No,,No,,231.05,11,3.7,3.9
26-01-2026,06:41:00,CNR0042538,Successful,CUST29517,Mini,Rajajinagar,Yelahanka,6.9,5.3,No,,No,,No,,586.4,21.8,4.6,4
12-01-2026,13:31:00,CNR0042539,Successful,CUST73647,Prime SUV,Whitefield Phase,Marathahalli,7.8,9,No,,No,,No,,266.22,23.9,4.1,4.4
09-01-2026,13:02:00,CNR0042540,Cancelled by Customer,CUST26962,Prime Sedan,Devanahalli,Outer Ring Road,,,Yes,AC is not working,No,,No,,183.43,,,
15-01-2026,22:51:00,CNR0042541,Cancelled by Customer,CUST48666,Auto,Connaught Place,Basavanagudi,,,Yes,Driver asked to cancel,No,,No,,238.74,,,
15-01-2026,12:54:00,CNR0042542,Cancelled by Driver,CUST47806,eBike,Kalyan Nagar,Banaswadi,,,No,,Yes,The customer was coughing/sick,No,,946.86,,,
07-01-2026,05:34:00,CNR0042543,Incomplete,CUST88074,Prime Plus,Yeshwantpur,Vijayanagar,,,No,,No,,Yes,Vehicle Breakdown,487.62,,,
24-01-2026,11:02:00,CNR0042544,Incomplete,CUST95476,Mini,Sarjapur,Malleshwaram,,,No,,No,,Yes,Other Issue,453.73,,,
09-01-2026,12:52:00,CNR0042545,Cancelled by Driver,CUST69574,Auto,Kengeri,Koramangala,,,No,,Yes,Customer related issue,No,,248.52,,,
09-01-2026,06:21:00,CNR0042546,Cancelled by Driver,CUST28181,Auto,Mahadevapura,Sarjapur,,,No,,Yes,The customer was coughing/sick,No,,167.87,,,
02-01-2026,12:52:00,CNR0042547,Successful,CUST11085,Prime Plus,Ulsoor,Whitefield,7.5,8.1,No,,No,,No,,485.1,20.2,4.4,4.2
21-01-2026,15:18:00,CNR0042548,Cancelled by Driver,CUST77884,Prime SUV,Varthur,Vidyaranyapura,,,No,,Yes,The customer was coughing/sick,No,,531.55,,,
08-01-2026,06:45:00,CNR0042549,Successful,CUST73545,Mini,Rachenahalli,Vijayanagar,8,5.5,No,,No,,No,,566.28,11.3,3.7,4.7
22-01-2026,15:38:00,CNR0042550,Cancelled by Driver,CUST93184,Auto,Rajajinagar,Cubbon Park,,,No,,Yes,More than permitted people in there,No,,214.37,,,
07-01-2026,02:04:00,CNR0042551,Successful,CUST98178,Bike,Richmond Town,Tumkur Road,7.1,5.6,No,,No,,No,,185.74,10.9,4.8,4.3
16-01-2026,11:01:00,CNR0042552,Successful,CUST59168,Auto,Malleshwaram,Kamakhya,8.6,4.6,No,,No,,No,,399.76,21.5,4.2,3.9
13-01-2026,15:48:00,CNR0042553,Successful,CUST83921,Prime Sedan,Peenya,Shivajinagar,8.9,6.5,No,,No,,No,,823.14,2.1,3.9,3.8
21-01-2026,01:51:00,CNR0042554,Successful,CUST34604,eBike,Brookefield,Kalyan Nagar,8.9,5.3,No,,No,,No,,312.03,2.9,5,4.2
06-01-2026,13:29:00,CNR0042555,Successful,CUST56398,Bike,Vidyaranyapura,Peenya,6,6.8,No,,No,,No,,338.66,16.2,4.6,4.7
02-01-2026,14:12:00,CNR0042556,Incomplete,CUST61633,Prime Sedan,Varthur,Frazer Town,,,No,,No,,Yes,Vehicle Breakdown,479.5,,,
29-01-2026,23:37:00,CNR0042557,Cancelled by Customer,CUST18519,Mini,HSR Layout,Vidyaranyapura,,,Yes,Wrong Address,No,,No,,365.23,,,
18-01-2026,22:17:00,CNR0042558,Successful,CUST24324,Bike,Sarjapur,Electronic City,8.2,6.5,No,,No,,No,,666.83,12.3,3.5,4.1
09-01-2026,22:08:00,CNR0042559,Successful,CUST60263,Prime Plus,Gavipuram,Yelahanka,7.7,6.6,No,,No,,No,,898.15,29.4,4.4,5
15-01-2026,03:15:00,CNR0042560,Successful,CUST11797,Prime Sedan,Mahadevapura,Hosur Road,5.6,7.5,No,,No,,No,,995.2,19.2,5,3.8
28-01-2026,00:48:00,CNR0042561,Successful,CUST23066,Bike,Koramangala,HSR Layout,11,4.1,No,,No,,No,,408.74,24.1,4.6,3.7
12-01-2026,12:56:00,CNR0042562,Incomplete,CUST67318,Prime Plus,Devanahalli,Vijayanagar,,,No,,No,,Yes,Other Issue,816.83,,,
11-01-2026,03:53:00,CNR0042563,Successful,CUST93108,Auto,Kamakhya,Kalyan Nagar,5,5.8,No,,No,,No,,134.88,29.5,3.8,4.9
21-01-2026,01:11:00,CNR0042564,Successful,CUST82670,eBike,Whitefield,Mahadevapura,5.6,5.5,No,,No,,No,,815.07,22.7,4.1,4
16-01-2026,02:56:00,CNR0042565,Successful,CUST51083,Prime Sedan,Peenya,Brookefield,10.1,6.8,No,,No,,No,,163.65,2,4.5,4.4
04-01-2026,01:08:00,CNR0042566,Successful,CUST15066,Mini,Vijayanagar,Kamakhya,5.4,4.4,No,,No,,No,,940.19,27.9,3.5,4.5
23-01-2026,00:44:00,CNR0042567,Successful,CUST84987,Prime Plus,City Market,Jakkur,8.8,2.8,No,,No,,No,,199.21,2.1,4,4.3
07-01-2026,07:37:00,CNR0042568,Successful,CUST63839,Prime Plus,Sarjapur,Jayanagar,7.7,6.2,No,,No,,No,,685.33,26.7,4.6,3.9
29-01-2026,05:09:00,CNR0042569,Successful,CUST43653,eBike,Hosur Road,Kamakhya,8.8,8.5,No,,No,,No,,108.7,23,4.7,4.8
11-01-2026,20:27:00,CNR0042570,Successful,CUST40023,Prime Plus,Peenya,Kolar Road,9.3,7.2,No,,No,,No,,722.27,20.5,5,3.8
12-01-2026,17:31:00,CNR0042571,Successful,CUST30937,Prime Sedan,Yeshwantpur,Gavipuram,7.6,7.5,No,,No,,No,,331.3,17.9,4.6,4.2
24-01-2026,22:35:00,CNR0042572,Incomplete,CUST64581,Mini,Rajajinagar,Chickpet,,,No,,No,,Yes,Vehicle Breakdown,358.17,,,
26-01-2026,02:54:00,CNR0042573,Successful,CUST96677,Prime Plus,Whitefield Phase,Rammurthy Nagar,7.8,6.5,No,,No,,No,,160.48,23,4.7,4.6
03-01-2026,17:21:00,CNR0042574,Cancelled by Driver,CUST70544,Prime SUV,Varthur,HSR Layout,,,No,,Yes,Customer related issue,No,,108.79,,,
29-01-2026,04:20:00,CNR0042575,Successful,CUST36868,Prime SUV,Chickpet,Richmond Town,6.7,2.5,No,,No,,No,,658.87,11.4,4.4,4.2
23-01-2026,22:16:00,CNR0042576,Successful,CUST55977,Prime Sedan,Brookefield,Kamakhya,4.5,5.4,No,,No,,No,,243.42,20.1,4.7,4.4
16-01-2026,23:14:00,CNR0042577,Successful,CUST90953,Auto,Jayanagar,Ulsoor,8.2,4.5,No,,No,,No,,345.78,18.1,3.9,4
28-01-2026,22:59:00,CNR0042578,Successful,CUST66003,Prime SUV,Ulsoor,Connaught Place,5.2,6.7,No,,No,,No,,463.23,25.3,4.7,3.9
30-01-2026,07:08:00,CNR0042579,Successful,CUST55910,Prime Sedan,Hosur Road,Hebbal,10.2,4.6,No,,No,,No,,219.86,19.6,3.7,4.3
25-01-2026,16:50:00,CNR0042580,Successful,CUST68025,Bike,Yelahanka,Rammurthy Nagar,11.2,7.5,No,,No,,No,,948.51,5.7,4.5,4.7
25-01-2026,16:03:00,CNR0042581,Cancelled by Customer,CUST13328,Prime Plus,Basavanagudi,Devanahalli,,,Yes,Wrong Address,No,,No,,1202.86,,,
15-01-2026,07:21:00,CNR0042582,Successful,CUST89591,eBike,Yelahanka,HSR Layout,8.5,4.4,No,,No,,No,,492.34,7.6,3.9,5
09-01-2026,08:24:00,CNR0042583,Successful,CUST82489,Prime SUV,Indiranagar,City Market,8.9,3.4,No,,No,,No,,255.31,13.6,3.6,4.7
08-01-2026,05:04:00,CNR0042584,Incomplete,CUST79121,eBike,Peenya,Gavipuram,,,No,,No,,Yes,Vehicle Breakdown,1129.9,,,
09-01-2026,10:14:00,CNR0042585,Successful,CUST43619,eBike,Chickpet,Peenya,8.5,7.7,No,,No,,No,,158.6,5.7,4.1,3.9
28-01-2026,23:09:00,CNR0042586,Successful,CUST78427,Mini,Yelahanka,OMR Road,5.1,5,No,,No,,No,,304.73,9.3,4.7,3.9
23-01-2026,23:09:00,CNR0042587,Successful,CUST45784,Prime Sedan,Rajajinagar,Bellandur,7,3.7,No,,No,,No,,494.36,5.7,3.5,4
27-01-2026,07:32:00,CNR0042588,Successful,CUST37702,Prime Plus,Whitefield,Bannerghatta Road,9.7,4.4,No,,No,,No,,432.62,25.2,5,4.7
15-01-2026,04:24:00,CNR0042589,Successful,CUST96262,Auto,Yeshwantpur,HSR Layout,7.2,6.7,No,,No,,No,,591.15,10.7,4.2,4.5
14-01-2026,17:20:00,CNR0042590,Cancelled by Customer,CUST52053,Bike,Rajajinagar,Vidyaranyapura,,,Yes,Change of plans,No,,No,,177.78,,,
09-01-2026,00:57:00,CNR0042591,Successful,CUST80265,Prime SUV,Kamakhya,Malleshwaram,9.7,5.4,No,,No,,No,,157.69,6.6,4,4.3
28-01-2026,23:08:00,CNR0042592,Successful,CUST24110,Prime Plus,JP Nagar,Vijayanagar,7.7,8,No,,No,,No,,103.07,23.9,4.2,3.6
21-01-2026,10:58:00,CNR0042593,Successful,CUST63689,Prime SUV,Whitefield Phase,Connaught Place,10.2,7.4,No,,No,,No,,100.75,5.2,3.7,4.4
21-01-2026,08:18:00,CNR0042594,Successful,CUST15667,Prime Plus,Sarjapur,Vidyaranyapura,5.9,4.9,No,,No,,No,,227.91,5.5,4.7,4.9
17-01-2026,06:46:00,CNR0042595,Successful,CUST12393,Mini,Banaswadi,Malleshwaram,10.8,7.5,No,,No,,No,,887.87,6,3.9,3.9
09-01-2026,05:32:00,CNR0042596,Cancelled by Driver,CUST57722,Prime Plus,Kamakhya,Electronic City,,,No,,Yes,Personal & Car related issues,No,,354.51,,,
23-01-2026,16:49:00,CNR0042597,Cancelled by Driver,CUST17525,Mini,Kolar Road,Mahadevapura,,,No,,Yes,More than permitted people in there,No,,370.75,,,
06-01-2026,09:48:00,CNR0042598,Successful,CUST44697,Auto,Bellandur,Hosur Road,6.5,7.4,No,,No,,No,,1070.92,12.6,4.3,3.9
19-01-2026,04:49:00,CNR0042599,Successful,CUST89835,Bike,Frazer Town,Rachenahalli,7.3,5.1,No,,No,,No,,299.01,28.1,4.9,3.8
26-01-2026,01:08:00,CNR0042600,Incomplete,CUST83777,Bike,Rachenahalli,Jayanagar,,,No,,No,,Yes,Vehicle Breakdown,804.39,,,
22-01-2026,03:33:00,CNR0042601,Successful,CUST58939,Mini,Koramangala Extension,Bagalur,8.6,4.6,No,,No,,No,,450.66,24.2,4.5,3.9
10-01-2026,21:46:00,CNR0042602,Cancelled by Driver,CUST41615,Mini,Kolar Road,Kengeri,,,No,,Yes,More than permitted people in there,No,,192.83,,,
13-01-2026,07:00:00,CNR0042603,Successful,CUST97959,eBike,Chickpet,City Market,7.9,7.2,No,,No,,No,,162.52,14.8,4.4,4.5
23-01-2026,19:26:00,CNR0042604,Successful,CUST38505,eBike,Kamakhya,Mahadevapura,7.1,6.7,No,,No,,No,,383.58,14.9,4.7,4
03-01-2026,06:56:00,CNR0042605,Cancelled by Customer,CUST71363,Prime SUV,Jayanagar,Shivajinagar,,,Yes,Change of plans,No,,No,,992.88,,,
29-01-2026,22:30:00,CNR0042606,Incomplete,CUST37418,Bike,Hebbal,JP Nagar,,,No,,No,,Yes,Customer Demand,175.16,,,
09-01-2026,09:33:00,CNR0042607,Successful,CUST49778,Bike,Rajajinagar,Cubbon Park,10.8,7.4,No,,No,,No,,316.57,5.1,4.8,4
11-01-2026,03:15:00,CNR0042608,Successful,CUST74973,Prime Sedan,Banaswadi,Rammurthy Nagar,8.4,6.4,No,,No,,No,,479.14,10.9,4,4.3
04-01-2026,19:07:00,CNR0042609,Cancelled by Driver,CUST49910,Bike,MG Road,Rammurthy Nagar,,,No,,Yes,Customer related issue,No,,701.31,,,
12-01-2026,17:25:00,CNR0042610,Incomplete,CUST85125,Bike,Rajajinagar,Whitefield Phase,,,No,,No,,Yes,Other Issue,699.49,,,
07-01-2026,18:12:00,CNR0042611,Successful,CUST33977,Prime SUV,Marathahalli,City Market,3.3,5.3,No,,No,,No,,478.06,29.5,4.5,3.8
06-01-2026,11:50:00,CNR0042612,Successful,CUST30533,Prime Plus,Yeshwantpur,Brookefield,4.8,6.9,No,,No,,No,,106.53,22.9,3.5,4.7
16-01-2026,11:11:00,CNR0042613,Cancelled by Customer,CUST58088,Prime Sedan,Cubbon Park,Varthur,,,Yes,Driver is not moving towards pickup location,No,,No,,722.61,,,
09-01-2026,08:43:00,CNR0042614,Cancelled by Customer,CUST85649,Prime SUV,Electronic City,Koramangala,,,Yes,Wrong Address,No,,No,,376.41,,,
29-01-2026,04:51:00,CNR0042615,Cancelled by Driver,CUST95242,eBike,Hosur Road,Rammurthy Nagar,,,No,,Yes,More than permitted people in there,No,,259.54,,,
12-01-2026,22:16:00,CNR0042616,Successful,CUST88246,Prime Plus,Bannerghatta Road,Varthur,9.1,7.2,No,,No,,No,,266.79,4.3,3.9,4.5
10-01-2026,06:16:00,CNR0042617,Successful,CUST19162,Prime Plus,Ulsoor,Rammurthy Nagar,6.2,3.9,No,,No,,No,,170.53,8.1,4.7,3.6
07-01-2026,07:36:00,CNR0042618,Successful,CUST37236,eBike,Basavanagudi,Marathahalli,4,5.7,No,,No,,No,,278.6,3,4.4,3.9
25-01-2026,16:40:00,CNR0042619,Cancelled by Customer,CUST13532,Prime SUV,Indiranagar,MG Road,,,Yes,Driver asked to cancel,No,,No,,662.47,,,
11-01-2026,05:24:00,CNR0042620,Successful,CUST43537,Bike,Vijayanagar,Cubbon Park,6.4,8.9,No,,No,,No,,913.38,2.8,3.6,4.5
04-01-2026,04:52:00,CNR0042621,Successful,CUST75633,Prime SUV,Sarjapur,Cubbon Park,8.4,6.8,No,,No,,No,,474.38,4.1,3.8,5
22-01-2026,15:58:00,CNR0042622,Successful,CUST64140,eBike,Chickpet,Kolar Road,7.6,7.4,No,,No,,No,,666.02,8.7,3.8,3.5
11-01-2026,09:49:00,CNR0042623,Successful,CUST37821,eBike,Bagalur,Shivajinagar,5.1,5.3,No,,No,,No,,237.59,18,3.5,4.7
28-01-2026,11:35:00,CNR0042624,Cancelled by Customer,CUST46089,Prime Sedan,Chamrajpet,Richmond Town,,,Yes,Wrong Address,No,,No,,101.03,,,
01-01-2026,17:56:00,CNR0042625,Cancelled by Driver,CUST84126,Prime Sedan,Bellandur,Hebbal,,,No,,Yes,The customer was coughing/sick,No,,134.27,,,
13-01-2026,20:32:00,CNR0042626,Successful,CUST98790,Prime Plus,HSR Layout,Outer Ring Road,6.3,5.2,No,,No,,No,,516.36,8.4,3.9,4
18-01-2026,11:33:00,CNR0042627,Cancelled by Driver,CUST53691,Prime Plus,Malleshwaram,Jakkur,,,No,,Yes,The customer was coughing/sick,No,,865.27,,,
25-01-2026,21:02:00,CNR0042628,Incomplete,CUST84798,Prime Plus,Indiranagar,Bellandur,,,No,,No,,Yes,Other Issue,392.23,,,
10-01-2026,10:31:00,CNR0042629,Successful,CUST52356,Bike,Jakkur,Peenya,8.7,4.6,No,,No,,No,,1182.57,3.2,3.7,3.9
30-01-2026,22:33:00,CNR0042630,Successful,CUST65880,Prime SUV,City Market,Malleshwaram,6.6,6.7,No,,No,,No,,255.4,9.5,3.6,4.8
20-01-2026,12:21:00,CNR0042631,Cancelled by Driver,CUST44110,eBike,Outer Ring Road,OMR Road,,,No,,Yes,More than permitted people in there,No,,427.78,,,
12-01-2026,06:36:00,CNR0042632,Successful,CUST61332,Prime SUV,Marathahalli,Kolar Road,5.6,3.7,No,,No,,No,,758.17,6.8,4.5,3.7
19-01-2026,00:36:00,CNR0042633,Successful,CUST53823,Prime Plus,Connaught Place,Chamrajpet,9.9,6,No,,No,,No,,382.46,14.8,4,3.7
13-01-2026,11:01:00,CNR0042634,Cancelled by Driver,CUST94576,Prime SUV,Ulsoor,OMR Road,,,No,,Yes,The customer was coughing/sick,No,,250.52,,,
11-01-2026,10:06:00,CNR0042635,Cancelled by Driver,CUST44468,Mini,JP Nagar,Vidyaranyapura,,,No,,Yes,More than permitted people in there,No,,844.89,,,
13-01-2026,10:11:00,CNR0042636,Successful,CUST16301,Prime Sedan,Koramangala,Rammurthy Nagar,7.9,5.6,No,,No,,No,,387.16,13.3,3.6,3.7
02-01-2026,05:57:00,CNR0042637,Successful,CUST55202,Auto,OMR Road,Kalyan Nagar,6,4.4,No,,No,,No,,509.91,7.6,4.5,3.9
01-01-2026,02:55:00,CNR0042638,Successful,CUST99588,Auto,Cubbon Park,Indiranagar,8.1,6.9,No,,No,,No,,258.26,17,4.6,4.4
06-01-2026,15:24:00,CNR0042639,Incomplete,CUST45748,Prime Sedan,Yelahanka,Bannerghatta Road,,,No,,No,,Yes,Vehicle Breakdown,354.9,,,
27-01-2026,03:30:00,CNR0042640,Cancelled by Driver,CUST79337,Prime SUV,MG Road,Peenya,,,No,,Yes,Customer related issue,No,,147.73,,,
20-01-2026,23:42:00,CNR0042641,Cancelled by Driver,CUST94813,Mini,MG Road,Brookefield,,,No,,Yes,Personal & Car related issues,No,,867.09,,,
27-01-2026,21:51:00,CNR0042642,Successful,CUST96983,Prime Sedan,Hosur Road,JP Nagar,11.8,4.2,No,,No,,No,,169.84,13.9,4.2,4
11-01-2026,08:00:00,CNR0042643,Successful,CUST85757,eBike,Tumkur Road,Brookefield,6.9,6.4,No,,No,,No,,862.59,2.8,4.7,3.9
13-01-2026,13:58:00,CNR0042644,Incomplete,CUST28472,Bike,Hebbal,Vijayanagar,,,No,,No,,Yes,Other Issue,231.85,,,
26-01-2026,17:45:00,CNR0042645,Successful,CUST46034,Auto,Jayanagar,City Market,11.3,6.7,No,,No,,No,,474.4,20.7,3.5,3.8
09-01-2026,01:12:00,CNR0042646,Successful,CUST57434,Prime SUV,Marathahalli,Banaswadi,7.5,4.6,No,,No,,No,,547.96,20.6,4.7,4.4
06-01-2026,23:33:00,CNR0042647,Successful,CUST22851,Prime Plus,Ulsoor,MG Road,8.7,3.1,No,,No,,No,,385.16,6.9,3.8,3.5
04-01-2026,20:44:00,CNR0042648,Successful,CUST43555,Prime Plus,Vidyaranyapura,Jayanagar,9.1,4.9,No,,No,,No,,435.98,14.3,4.9,3.6
14-01-2026,16:47:00,CNR0042649,Successful,CUST77401,Prime SUV,Malleshwaram,Whitefield Phase,5.3,5.7,No,,No,,No,,265.61,9.2,5,3.6
03-01-2026,21:05:00,CNR0042650,Successful,CUST53519,Prime SUV,Devanahalli,Kengeri,9.4,6.4,No,,No,,No,,492.97,5.6,4.8,3.9
07-01-2026,09:12:00,CNR0042651,Successful,CUST95490,Auto,Outer Ring Road,OMR Road,6.2,7.7,No,,No,,No,,149.22,13.4,4,4.2
16-01-2026,16:16:00,CNR0042652,Successful,CUST14313,eBike,Basavanagudi,Koramangala Extension,9.4,7.5,No,,No,,No,,472.15,19.1,4.7,4.3
02-01-2026,22:47:00,CNR0042653,Successful,CUST16223,Bike,Jayanagar,Connaught Place,7.2,7.2,No,,No,,No,,974.56,7.9,4,4.3
13-01-2026,21:27:00,CNR0042654,Incomplete,CUST73070,Mini,Brookefield,JP Nagar,,,No,,No,,Yes,Other Issue,700.11,,,
14-01-2026,07:31:00,CNR0042655,Cancelled by Driver,CUST47462,Prime SUV,Shivajinagar,Chamrajpet,,,No,,Yes,More than permitted people in there,No,,117.73,,,
31-01-2026,17:47:00,CNR0042656,Successful,CUST44012,Mini,Connaught Place,City Market,3.4,6.2,No,,No,,No,,445.96,5.7,3.9,4.5
03-01-2026,03:17:00,CNR0042657,Successful,CUST37206,Mini,MG Road,Rajajinagar,7.5,6.4,No,,No,,No,,838.54,21.8,3.6,3.6
10-01-2026,15:30:00,CNR0042658,Incomplete,CUST10067,eBike,Hebbal,Rammurthy Nagar,,,No,,No,,Yes,Customer Demand,353.23,,,
11-01-2026,01:53:00,CNR0042659,Cancelled by Customer,CUST92594,eBike,Peenya,Frazer Town,,,Yes,Wrong Address,No,,No,,289.98,,,
26-01-2026,12:05:00,CNR0042660,Successful,CUST91935,Auto,Vidyaranyapura,Indiranagar,6.3,2.1,No,,No,,No,,329.77,24.9,4.5,4.2
07-01-2026,22:10:00,CNR0042661,Successful,CUST90469,Auto,Gavipuram,Kamakhya,6.8,6.3,No,,No,,No,,889.65,14.6,3.8,4.2
25-01-2026,07:12:00,CNR0042662,Successful,CUST17941,eBike,Devanahalli,Koramangala Extension,6.2,5.2,No,,No,,No,,514.73,9.7,4,4.3
14-01-2026,23:17:00,CNR0042663,Incomplete,CUST48537,eBike,Connaught Place,Varthur,,,No,,No,,Yes,Customer Demand,224.4,,,
21-01-2026,02:11:00,CNR0042664,Successful,CUST60693,Auto,Hebbal,Kalyan Nagar,8.8,7.6,No,,No,,No,,346.09,14.2,4.2,3.7
16-01-2026,00:17:00,CNR0042665,Successful,CUST45659,Mini,Yelahanka,Brookefield,5.5,4.3,No,,No,,No,,330.56,17.5,4.2,4.3
02-01-2026,10:18:00,CNR0042666,Successful,CUST67874,eBike,MG Road,Frazer Town,7.2,6.4,No,,No,,No,,815.84,9.1,3.7,4.3
23-01-2026,12:40:00,CNR0042667,Successful,CUST39206,Prime SUV,Kengeri,Vijayanagar,7.9,4.3,No,,No,,No,,263.6,26.9,4.2,3.5
19-01-2026,18:43:00,CNR0042668,Incomplete,CUST76372,Mini,Varthur,Hebbal,,,No,,No,,Yes,Customer Demand,621.31,,,
06-01-2026,10:51:00,CNR0042669,Cancelled by Driver,CUST76569,eBike,Whitefield Phase,Frazer Town,,,No,,Yes,Customer related issue,No,,532.63,,,
19-01-2026,19:58:00,CNR0042670,Successful,CUST21960,Prime Plus,Chamrajpet,Vidyaranyapura,10.4,8.5,No,,No,,No,,575.4,4.1,4.2,4.4
24-01-2026,06:33:00,CNR0042671,Cancelled by Driver,CUST56979,Auto,Kalyan Nagar,Varthur,,,No,,Yes,Customer related issue,No,,102.11,,,
09-01-2026,05:57:00,CNR0042672,Successful,CUST42093,Mini,Tumkur Road,Basavanagudi,7.5,6.7,No,,No,,No,,591.3,27.2,4.5,4.6
29-01-2026,21:12:00,CNR0042673,Incomplete,CUST33254,Prime Sedan,OMR Road,Peenya,,,No,,No,,Yes,Vehicle Breakdown,1280.27,,,
23-01-2026,23:07:00,CNR0042674,Successful,CUST33103,Mini,Shivajinagar,Koramangala,11.2,2.2,No,,No,,No,,329.46,18.9,3.9,4
27-01-2026,05:34:00,CNR0042675,Successful,CUST66319,Auto,Varthur,Rammurthy Nagar,9.6,5.2,No,,No,,No,,399.59,28.8,3.6,4.6
06-01-2026,00:40:00,CNR0042676,Successful,CUST60294,Bike,OMR Road,Jayanagar,12.9,7,No,,No,,No,,783.39,3.8,4.1,3.9
06-01-2026,22:05:00,CNR0042677,Incomplete,CUST38082,Bike,Indiranagar,MG Road,,,No,,No,,Yes,Other Issue,424.89,,,
31-01-2026,18:42:00,CNR0042678,Successful,CUST99548,Mini,Malleshwaram,HSR Layout,5.6,7.5,No,,No,,No,,269.35,28.8,4.7,3.9
13-01-2026,14:28:00,CNR0042679,Cancelled by Customer,CUST86672,Bike,Chamrajpet,Rachenahalli,,,Yes,Change of plans,No,,No,,1497.1,,,
10-01-2026,17:41:00,CNR0042680,Successful,CUST87890,eBike,Yeshwantpur,Peenya,9.1,7.7,No,,No,,No,,297.98,17,3.8,4.2
20-01-2026,18:30:00,CNR0042681,Cancelled by Customer,CUST85414,Prime Sedan,Electronic City,Banaswadi,,,Yes,Wrong Address,No,,No,,934.71,,,
15-01-2026,21:09:00,CNR0042682,Incomplete,CUST46975,Mini,Frazer Town,Malleshwaram,,,No,,No,,Yes,Customer Demand,258.28,,,
29-01-2026,01:48:00,CNR0042683,Successful,CUST78112,Auto,Jayanagar,Shivajinagar,8.3,7,No,,No,,No,,246.47,26,4.2,4.7
16-01-2026,21:53:00,CNR0042684,Successful,CUST86978,Prime SUV,Koramangala Extension,HSR Layout,9,7.5,No,,No,,No,,239.92,15.7,4.6,4.2
08-01-2026,07:21:00,CNR0042685,Cancelled by Customer,CUST40129,Mini,Kalyan Nagar,Rachenahalli,,,Yes,Wrong Address,No,,No,,778.3,,,
08-01-2026,00:00:00,CNR0042686,Successful,CUST82999,Bike,Jayanagar,Chamrajpet,3.9,6.6,No,,No,,No,,1997.49,7.8,3.7,3.8
28-01-2026,09:14:00,CNR0042687,Successful,CUST24678,Prime SUV,Marathahalli,Banaswadi,10.1,5.7,No,,No,,No,,488.78,3.7,4.4,4.2
21-01-2026,20:38:00,CNR0042688,Successful,CUST18567,eBike,Yeshwantpur,Shivajinagar,10.1,7.1,No,,No,,No,,283.17,25.3,3.6,3.7
26-01-2026,06:13:00,CNR0042689,Successful,CUST19869,Prime Plus,Chamrajpet,JP Nagar,8.1,5.8,No,,No,,No,,1049.91,12,4.2,4.8
28-01-2026,01:04:00,CNR0042690,Cancelled by Customer,CUST92751,Prime SUV,Sarjapur,Tumkur Road,,,Yes,Change of plans,No,,No,,281.42,,,
25-01-2026,03:26:00,CNR0042691,Cancelled by Customer,CUST88361,Bike,MG Road,Cubbon Park,,,Yes,Change of plans,No,,No,,267.66,,,
04-01-2026,07:27:00,CNR0042692,Successful,CUST23804,eBike,Kolar Road,HSR Layout,7.2,7.8,No,,No,,No,,430.83,23.5,3.8,3.6
06-01-2026,13:21:00,CNR0042693,Successful,CUST94231,Prime Plus,Kalyan Nagar,Jakkur,7.4,7.1,No,,No,,No,,181.29,15.1,4.6,3.8
